,,,Auto,Auto,Teleop,Teleop,Teleop,Teleop,,
Team Number,Match,Position,SHOOTING,L1,SHOOTING,L1,L2,L3,Score,Notes
"3,256",17,B2,56.19195257,0,292.3313029,0,0,0,348.5232555,
"6,988",17,B3,0,0,0,0,0,0,2,Defense bot
"2,194",18,R2,52.37245456,0,95.37068535,0,0,0,147.7431399,
948,18,B1,8.16415524,0,106.6871418,0,0,0,114.8512971,
"6,036",18,R3,7.962045695,0,187.2362555,0,0,0,195.1983012,
"4,590",18,R1,13.66549974,0,281.3930591,0,0,0,295.0585589,
"1,884",18,B2,0,0,0,0,0,0,2,
"2,783",18,B3,91.83584476,0,353.3128582,0,0,0,445.1487029,
"9,067",19,R2,33.82447594,0,70.21977267,0,0,0,104.0442486,
"3,044",19,B1,7.674134538,0,116.3316508,0,0,0,124.0057854,
341,19,R3,21.15160041,0,170.2843431,0,0,0,191.4359436,
"5,736",19,R1,69.02392364,0,389.4958842,0,0,0,458.5198078,
"6,647",19,B2,17.11397597,0,219.8343377,0,0,0,236.9483137,
599,19,B3,47.2118895,0,244.8340115,0,0,0,292.045901,
"2,586",20,R2,25.35173189,0,17.63217948,10,0,0,52.98391137,
"3,966",20,B1,31.58964689,0,55.37717082,0,0,0,86.96681772,defense- broken intake?
"1,108",20,R3,6.046848092,0,54.55266107,0,0,0,60.59950916,
"2,067",20,R1,52.60142002,0,151.8151594,0,0,0,204.4165795,
"9,245",20,B2,28.80697902,0,202.5039618,0,0,0,231.3109408,
"5,549",20,B3,17.60337408,0,139.1188674,0,0,0,156.7222415,
"2,052",21,B2,6.565363525,0,96.80873224,0,0,0,103.3740958,hopper was destroyed
"1,577",21,R1,34.34618995,0,137.7364392,0,0,0,172.0826291,
"2,910",21,B3,107.4922412,0,367.1136868,0,0,0,474.605928,
346,21,B1,6.942395269,0,125.077581,0,0,0,132.0199762,
"2,046",21,R3,64.71093806,0,229.2635608,0,0,0,293.9744989,scored in other alliance hub
"10,553",21,R2,6.942871988,0,0,0,0,0,6.942871988,Defense
"10,979",22,B2,0,0,0,0,0,0,2,never even moved
"4,206",22,R1,16.56366228,0,125.5400373,0,0,0,142.1036996,
"1,922",22,B3,71.81561235,0,239.4154129,0,0,0,311.2310253,
"1,796",22,B1,29.18438765,0,212.5845871,0,0,0,241.7689747,
818,22,R3,37.55338292,0,133.4599627,0,0,0,171.0133456,
"1,902",22,R2,2.882954805,0,0,0,0,0,2.882954805,Broken intake
424,23,B2,49.04387271,0,149.7726933,0,0,0,198.8165661,
88,23,R1,5.175732762,0,53.93572315,0,0,0,59.11145591,
"4,400",23,B3,35.87274069,0,159.2273067,0,0,0,195.1000473,
"1,807",23,B1,24.08338661,0,0,0,0,0,24.08338661,
195,23,R3,19.75884814,0,142.661395,0,0,0,162.4202431,
"9,029",23,R2,2.065419099,0,46.40288186,0,0,0,48.46830096,
233,24,B2,29.19340526,0,144.2471648,0,0,0,173.4405701,
180,24,R1,49.06582768,0,0,0,0,0,49.06582768,turret fell off
"4,561",24,B3,45.80659474,0,57.92985251,0,0,0,103.7364472,
"2,713",24,B1,0,0,135.8229827,0,0,0,135.8229827,
"6,436",24,R3,0,0,155.9941221,0,0,0,155.9941221,
"2,370",24,R2,57.93417232,0,21.00587792,0,0,0,78.94005024,
"8,373",25,B2,23.32354705,0,200.3353104,0,0,0,223.6588575,
"3,354",25,R1,0,0,84.68740448,0,0,0,84.68740448,
973,25,B3,46.41032474,0,247.569311,0,0,0,293.9796358,
"7,160",25,B1,6.266128205,0,42.09537855,0,0,0,48.36150675,
695,25,R3,76.27718072,0,164.7875201,0,0,0,241.0647008,
"8,046",25,R2,26.72281928,0,47.52507543,0,0,0,74.2478947,
"11,463",26,B2,7.053054684,0,8.776885136,0,0,0,15.82993982,"jsmmed intake, kit bot"
"4,253",26,B3,0,0,0,0,0,0,2,Can't see
"1,833",26,R1,0,0,0,0,0,0,2,
"2,194",26,B1,46.94694532,0,216.2231149,0,0,0,263.1700602,
386,26,R3,21.45151152,0,65.73064269,0,0,0,87.18215421,
687,26,R2,43.54848848,0,220.2693573,0,0,0,263.8178458,
"5,948",27,B2,0,0,43.80674675,0,0,0,43.80674675,
"5,414",27,B3,45,0,69.19325325,0,0,0,114.1932533,
"2,783",27,R1,51.50442789,0,173.9703346,0,0,0,225.4747625,hopper broke
599,27,B1,0,0,0,0,0,0,2,Never moved
"5,216",27,R3,0,0,128.7467947,0,0,0,128.7467947,
"10,935",27,R2,2.495572107,0,3.282870712,0,0,0,5.778442819,
341,28,B2,50.82987644,0,74.63773017,0,0,0,125.4676066,
